workload_type,block_size,journal_modes,io_schedulers,read_ahead_sizes,barriers,noatime_options,commit_intervals,io_engines,mean_latency,bandwidth,iops
randrw,2048,ordered,kyber,512,off,atime,30,sync,107.220869,10913,5456.587076
read,2048,ordered,kyber,512,off,atime,30,libaio,32.63120444,259548,129774.2574
write,2048,ordered,kyber,512,off,atime,30,libaio,851.1965999,37115,18557.55345
randread,2048,ordered,kyber,512,off,atime,30,libaio,367.9558662,71022,35511.24357
randwrite,2048,ordered,kyber,512,off,atime,30,libaio,1113.049484,28528,14264.01132
rw,2048,ordered,kyber,512,off,atime,30,libaio,77.67092344,185678,92839.48864
randrw,2048,ordered,kyber,512,off,atime,30,libaio,1429.459873,11062,5531.398104
read,2048,ordered,none,128,on,noatime,5,sync,1.314954346,289342,144671.0817
write,2048,ordered,none,128,on,noatime,5,sync,50.16367503,39343,19671.61939
randread,2048,ordered,none,128,on,noatime,5,sync,22.8940032,57111,28555.99129
randwrite,2048,ordered,none,128,on,noatime,5,sync,51.81644584,37903,18951.99537
rw,2048,ordered,none,128,on,noatime,5,sync,11.10792648,109479,54739.53099
randrw,2048,ordered,none,128,on,noatime,5,sync,100.5180577,11943,5971.585199
read,2048,ordered,none,128,on,noatime,5,libaio,25.8491381,299251,149625.5708
write,2048,ordered,none,128,on,noatime,5,libaio,825.2949383,38291,19145.77856
randread,2048,ordered,none,128,on,noatime,5,libaio,390.131774,68089,34044.67533
randwrite,2048,ordered,none,128,on,noatime,5,libaio,1202.896093,26409,13204.91638
rw,2048,ordered,none,128,on,noatime,5,libaio,74.42994624,195393,97696.56203
randrw,2048,ordered,none,128,on,noatime,5,libaio,1261.530808,12504,6252.056629
read,2048,ordered,none,128,on,noatime,30,sync,1.291245827,280668,140334.0471
write,2048,ordered,none,128,on,noatime,30,sync,49.08832119,40187,20093.82186
randread,2048,ordered,none,128,on,noatime,30,sync,23.93602813,68107,34053.5204
randwrite,2048,ordered,none,128,on,noatime,30,sync,64.92055089,30375,15187.94902
rw,2048,ordered,none,128,on,noatime,30,sync,6.592807785,162787,81393.52428
randrw,2048,ordered,none,128,on,noatime,30,sync,80.16622034,14813,7406.958296
read,2048,ordered,none,128,on,noatime,30,libaio,30.41637845,273922,136961.3375
write,2048,ordered,none,128,on,noatime,30,libaio,824.1354164,38330,19165.37506
randread,2048,ordered,none,128,on,noatime,30,libaio,412.5911168,64250,32125.4902
randwrite,2048,ordered,none,128,on,noatime,30,libaio,1284.879111,24751,12375.79077
rw,2048,ordered,none,128,on,noatime,30,libaio,94.36628379,157681,78840.77201
randrw,2048,ordered,none,128,on,noatime,30,libaio,1064.593341,14592,7296.159857
read,2048,ordered,none,128,on,atime,5,sync,1.315883797,290625,145312.6386
write,2048,ordered,none,128,on,atime,5,sync,47.84175958,41165,20582.91457
randread,2048,ordered,none,128,on,atime,5,sync,22.45329414,70658,35329.38005
randwrite,2048,ordered,none,128,on,atime,5,sync,65.77539458,29979,14989.93596
rw,2048,ordered,none,128,on,atime,5,sync,5.360610888,200795,100397.8495
randrw,2048,ordered,none,128,on,atime,5,sync,87.82953656,13018,6509.21223
read,2048,ordered,none,128,on,atime,5,libaio,29.97345985,280968,140484.4587
write,2048,ordered,none,128,on,atime,5,libaio,511.4610474,61724,30862.25571
randread,2048,ordered,none,128,on,atime,5,libaio,370.3167448,84617,42308.58619
randwrite,2048,ordered,none,128,on,atime,5,libaio,1052.479446,30207,15103.941
rw,2048,ordered,none,128,on,atime,5,libaio,67.13092534,102523,51261.96078
randrw,2048,ordered,none,128,on,atime,5,libaio,1054.696238,14634,7317.398119
read,2048,ordered,none,128,on,atime,30,sync,1.340606987,1024000,512000
write,2048,ordered,none,128,on,atime,30,sync,51.48111186,38426,19213.13398
randread,2048,ordered,none,128,on,atime,30,sync,14.33870832,99674,49837.26236
randwrite,2048,ordered,none,128,on,atime,30,sync,62.79255501,31371,15685.97415
rw,2048,ordered,none,128,on,atime,30,sync,6.256587754,174523,87261.68224
randrw,2048,ordered,none,128,on,atime,30,sync,93.49445432,12649,6324.656474
read,2048,ordered,none,128,on,atime,30,libaio,27.98597027,282787,141393.7433
write,2048,ordered,none,128,on,atime,30,libaio,810.7324065,38887,19443.99941
randread,2048,ordered,none,128,on,atime,30,libaio,352.8996224,74198,37099.349
randwrite,2048,ordered,none,128,on,atime,30,libaio,1023.499853,31033,15516.98828
rw,2048,ordered,none,128,on,atime,30,libaio,69.99150015,205208,102604.3956
randrw,2048,ordered,none,128,on,atime,30,libaio,1165.082315,13288,6644.200468
read,2048,ordered,none,128,off,noatime,5,sync,1.30067617,284939,142469.5652
write,2048,ordered,none,128,off,noatime,5,sync,51.99967178,38019,19009.71719
randread,2048,ordered,none,128,off,noatime,5,sync,28.62413026,58462,29231.04371
randwrite,2048,ordered,none,128,off,noatime,5,sync,65.25469415,30249,15124.85576
rw,2048,ordered,none,128,off,noatime,5,sync,5.326763644,201414,100707.2419
randrw,2048,ordered,none,128,off,noatime,5,sync,97.74870861,12093,6046.720326
read,2048,ordered,none,128,off,noatime,5,libaio,28.77936124,290625,145312.6386
write,2048,ordered,none,128,off,noatime,5,libaio,775.0726988,40889,20444.8604
randread,2048,ordered,none,128,off,noatime,5,libaio,340.5941711,74941,37470.5546
randwrite,2048,ordered,none,128,off,noatime,5,libaio,1007.091425,31545,15772.80385
rw,2048,ordered,none,128,off,noatime,5,libaio,128.3193253,121035,60517.59259
randrw,2048,ordered,none,128,off,noatime,5,libaio,1250.477688,12504,6252.056629
read,2048,ordered,none,128,off,noatime,30,sync,1.237263672,289023,144511.5766
write,2048,ordered,none,128,off,noatime,30,sync,44.03053043,44681,22340.54883
randread,2048,ordered,none,128,off,noatime,30,sync,28.45324035,58254,29127.11111
randwrite,2048,ordered,none,128,off,noatime,30,sync,68.30294315,28905,14452.75113
rw,2048,ordered,none,128,off,noatime,30,sync,45.49118845,28984,14492.01774
randrw,2048,ordered,none,128,off,noatime,30,sync,96.17537364,12268,6134.115439
read,2048,ordered,none,128,off,noatime,30,libaio,29.79550424,275361,137680.6723
write,2048,ordered,none,128,off,noatime,30,libaio,733.0536336,42953,21476.65083
randread,2048,ordered,none,128,off,noatime,30,libaio,361.9040345,71624,35812.02186
randwrite,2048,ordered,none,128,off,noatime,30,libaio,1010.245619,31435,15717.95179
rw,2048,ordered,none,128,off,noatime,30,libaio,103.3752681,147204,73602.47748
randrw,2048,ordered,none,128,off,noatime,30,libaio,986.1317873,15624,7812.455176
read,2048,ordered,none,128,off,atime,5,sync,1.201674835,291271,145635.5556
write,2048,ordered,none,128,off,atime,5,sync,43.32096594,45590,22795.13044
randread,2048,ordered,none,128,off,atime,5,sync,20.80936272,76404,38202.27339
randwrite,2048,ordered,none,128,off,atime,5,sync,75.53372829,26130,13065.39075
rw,2048,ordered,none,128,off,atime,5,sync,11.29393511,106795,53397.87582
randrw,2048,ordered,none,128,off,atime,5,sync,95.68556393,12355,6177.599244
read,2048,ordered,none,128,off,atime,5,libaio,32.52038989,276231,138115.9115
write,2048,ordered,none,128,off,atime,5,libaio,986.6024498,32117,16058.80912
randread,2048,ordered,none,128,off,atime,5,libaio,337.1079197,75134,37567.21124
randwrite,2048,ordered,none,128,off,atime,5,libaio,1045.106464,30389,15194.99189
rw,2048,ordered,none,128,off,atime,5,libaio,76.82643029,192232,96116.17647
randrw,2048,ordered,none,128,off,atime,5,libaio,1240.75454,12721,6360.973236
read,2048,ordered,none,128,off,atime,30,sync,1.271834137,300279,150139.748
write,2048,ordered,none,128,off,atime,30,sync,55.43321416,35709,17854.78818
randread,2048,ordered,none,128,off,atime,30,sync,25.84760546,63704,31852.24787
randwrite,2048,ordered,none,128,off,atime,30,sync,60.72433747,32471,16235.84789
rw,2048,ordered,none,128,off,atime,30,sync,5.418651647,189446,94723.18841
randrw,2048,ordered,none,128,off,atime,30,sync,83.94877019,14304,7152.440359
read,2048,ordered,none,128,off,atime,30,libaio,29.7513025,277107,138553.9112
write,2048,ordered,none,128,off,atime,30,libaio,824.7417989,38415,19207.50293
randread,2048,ordered,none,128,off,atime,30,libaio,330.8064929,76583,38291.55711
randwrite,2048,ordered,none,128,off,atime,30,libaio,819.4349391,38607,19303.68189
rw,2048,ordered,none,128,off,atime,30,libaio,74.46444285,194520,97260.41667
randrw,2048,ordered,none,128,off,atime,30,libaio,1178.712025,13202,6601.252399
read,2048,ordered,none,256,on,noatime,5,sync,1.309402359,289342,144671.0817
write,2048,ordered,none,256,on,noatime,5,sync,43.20444453,45757,22878.68738
randread,2048,ordered,none,256,on,noatime,5,sync,18.59520134,82176,41088.40125
randwrite,2048,ordered,none,256,on,noatime,5,sync,70.57816958,27988,13994.448
rw,2048,ordered,none,256,on,noatime,5,sync,6.30158477,175932,87966.35262
randrw,2048,ordered,none,256,on,noatime,5,sync,75.26989787,15358,7679.356127
read,2048,ordered,none,256,on,noatime,5,libaio,31.79441932,269418,134709.147
write,2048,ordered,none,256,on,noatime,5,libaio,848.4941114,37204,18602.32756
randread,2048,ordered,none,256,on,noatime,5,libaio,347.0249302,74919,37459.84567
randwrite,2048,ordered,none,256,on,noatime,5,libaio,1108.320377,28665,14332.64079
rw,2048,ordered,none,256,on,noatime,5,libaio,105.0279172,142705,71352.62009
randrw,2048,ordered,none,256,on,noatime,5,libaio,1240.237683,12675,6337.53515
read,2048,ordered,none,256,on,noatime,30,sync,1.323359146,284013,142006.5005
write,2048,ordered,none,256,on,noatime,30,sync,50.04955492,39515,19757.6123
randread,2048,ordered,none,256,on,noatime,30,sync,19.06879643,80511,40255.52826
randwrite,2048,ordered,none,256,on,noatime,30,sync,64.09582666,30771,15385.84341
rw,2048,ordered,none,256,on,noatime,30,sync,4.577836671,218591,109295.9866
randrw,2048,ordered,none,256,on,noatime,30,sync,87.77321634,13633,6816.750104
read,2048,ordered,none,256,on,noatime,30,libaio,30.50788039,266949,133474.5418
write,2048,ordered,none,256,on,noatime,30,libaio,725.7760598,43351,21675.54159
randread,2048,ordered,none,256,on,noatime,30,libaio,362.1054778,72455,36227.75014
randwrite,2048,ordered,none,256,on,noatime,30,libaio,1408.896949,22610,11305.15784
rw,2048,ordered,none,256,on,noatime,30,libaio,72.37079954,206179,103089.9054
randrw,2048,ordered,none,256,on,noatime,30,libaio,1179.667463,13207,6603.92038
read,2048,ordered,none,256,on,atime,5,sync,1.340704979,296207,148103.9548
write,2048,ordered,none,256,on,atime,5,sync,45.9038368,42967,21483.6912
randread,2048,ordered,none,256,on,atime,5,sync,20.03346967,78181,39090.96332
randwrite,2048,ordered,none,256,on,atime,5,sync,74.25731154,26616,13308.15311
rw,2048,ordered,none,256,on,atime,5,sync,13.52056326,93303,46651.67737
randrw,2048,ordered,none,256,on,atime,5,sync,93.84605936,12785,6392.703443
read,2048,ordered,none,256,on,atime,5,libaio,33.2569884,268865,134432.8205
write,2048,ordered,none,256,on,atime,5,libaio,776.7862194,40813,20406.66355
randread,2048,ordered,none,256,on,atime,5,libaio,338.1073775,76160,38080.18594
randwrite,2048,ordered,none,256,on,atime,5,libaio,1463.70034,21727,10863.82097
rw,2048,ordered,none,256,on,atime,5,libaio,351.5919204,44613,22306.82594
randrw,2048,ordered,none,256,on,atime,5,libaio,1247.041336,12442,6221.111746
read,2048,ordered,none,256,on,atime,30,sync,1.316875717,304464,152232.288
write,2048,ordered,none,256,on,atime,30,sync,51.42954091,38426,19213.13398
randread,2048,ordered,none,256,on,atime,30,sync,26.40142856,61841,30920.50012
randwrite,2048,ordered,none,256,on,atime,30,sync,71.1669535,27748,13874.4575
rw,2048,ordered,none,256,on,atime,30,sync,5.313349806,97043,48521.90052
randrw,2048,ordered,none,256,on,atime,30,sync,94.28279074,12754,6377.109962
read,2048,ordered,none,256,on,atime,30,libaio,31.54648837,274496,137248.1675
write,2048,ordered,none,256,on,atime,30,libaio,776.4675159,40838,20419.37997
randread,2048,ordered,none,256,on,atime,30,libaio,465.7752244,48197,24098.54753
randwrite,2048,ordered,none,256,on,atime,30,libaio,1229.905478,25816,12908.41048
rw,2048,ordered,none,256,on,atime,30,libaio,98.81184264,151821,75910.56911
randrw,2048,ordered,none,256,on,atime,30,libaio,1183.077353,13231,6615.953032
read,2048,ordered,none,256,off,noatime,5,sync,1.283884346,291595,145797.5528
write,2048,ordered,none,256,off,noatime,5,sync,38.84400047,50685,25342.61408
randread,2048,ordered,none,256,off,noatime,5,sync,20.3125443,76897,38448.81197
randwrite,2048,ordered,none,256,off,noatime,5,sync,63.48119544,31048,15524.33969
rw,2048,ordered,none,256,off,noatime,5,sync,4.875476751,206179,103089.9054
randrw,2048,ordered,none,256,off,noatime,5,sync,88.98233737,13453,6726.945245
read,2048,ordered,none,256,off,noatime,5,libaio,29.28744454,273066,136533.3333
write,2048,ordered,none,256,off,noatime,5,libaio,892.1720626,35453,17726.80552
randread,2048,ordered,none,256,off,noatime,5,libaio,392.8952799,66584,33292.35459
randwrite,2048,ordered,none,256,off,noatime,5,libaio,1052.482733,30193,15096.98226
rw,2048,ordered,none,256,off,noatime,5,libaio,79.79952004,185152,92576.48725
randrw,2048,ordered,none,256,off,noatime,5,libaio,1283.165609,12183,6091.807251
read,2048,ordered,none,256,off,noatime,30,sync,1.298360374,289023,144511.5766
write,2048,ordered,none,256,off,noatime,30,sync,29.1869654,66856,33428.20709
randread,2048,ordered,none,256,off,noatime,30,sync,23.36430931,68768,34384.05037
randwrite,2048,ordered,none,256,off,noatime,30,sync,67.44269864,29270,14635.10496
rw,2048,ordered,none,256,off,noatime,30,sync,47.18392573,30887,15443.99811
randrw,2048,ordered,none,256,off,noatime,30,sync,106.1127918,8027,4013.694424
read,2048,ordered,none,256,off,noatime,30,libaio,26.03039298,291271,145635.5556
write,2048,ordered,none,256,off,noatime,30,libaio,860.995733,36786,18393.48863
randread,2048,ordered,none,256,off,noatime,30,libaio,339.0642133,75698,37849.26364
randwrite,2048,ordered,none,256,off,noatime,30,libaio,1084.833068,29270,14635.10496
rw,2048,ordered,none,256,off,noatime,30,libaio,200.4502596,77854,38927.3377
randrw,2048,ordered,none,256,off,noatime,30,libaio,1221.062363,12784,6392.07824
read,2048,ordered,none,256,off,atime,5,sync,1.300870926,146695,73347.50979
write,2048,ordered,none,256,off,atime,5,sync,49.50985837,39948,19974.39805
randread,2048,ordered,none,256,off,atime,5,sync,23.15797817,70223,35111.7064
randwrite,2048,ordered,none,256,off,atime,5,sync,57.11204025,34456,17228.18086
rw,2048,ordered,none,256,off,atime,5,sync,9.864228247,121824,60912.39515
randrw,2048,ordered,none,256,off,atime,5,sync,80.89548527,14186,7093.444758
read,2048,ordered,none,256,off,atime,5,libaio,33.04551965,95603,47801.60467
write,2048,ordered,none,256,off,atime,5,libaio,962.8717212,32813,16406.55902
randread,2048,ordered,none,256,off,atime,5,libaio,396.5509341,66567,33283.90046
randwrite,2048,ordered,none,256,off,atime,5,libaio,1153.240392,27547,13773.85456
rw,2048,ordered,none,256,off,atime,5,libaio,100.2562259,83206,41603.4373
randrw,2048,ordered,none,256,off,atime,5,libaio,1303.135052,11956,5978.139577
read,2048,ordered,none,256,off,atime,30,sync,1.53907917,894689,447344.7099
write,2048,ordered,none,256,off,atime,30,sync,42.84092364,46054,23027.40689
randread,2048,ordered,none,256,off,atime,30,sync,23.70852605,67719,33859.9845
randwrite,2048,ordered,none,256,off,atime,30,sync,74.29608235,26567,13283.87555
rw,2048,ordered,none,256,off,atime,30,sync,12.87046772,98878,49439.48563
randrw,2048,ordered,none,256,off,atime,30,sync,93.6198502,12775,6387.705238
read,2048,ordered,none,256,off,atime,30,libaio,25.97911888,292898,146449.162
write,2048,ordered,none,256,off,atime,30,libaio,726.7986385,43617,21808.98503
randread,2048,ordered,none,256,off,atime,30,libaio,384.9902928,68985,34492.63158
randwrite,2048,ordered,none,256,off,atime,30,libaio,1117.855203,28401,14200.65005
rw,2048,ordered,none,256,off,atime,30,libaio,95.35655708,158254,79127.11864
randrw,2048,ordered,none,256,off,atime,30,libaio,1229.230913,12660,6330.169492
read,2048,ordered,none,512,on,noatime,5,sync,1.476806808,291271,145635.5556
write,2048,ordered,none,512,on,noatime,5,sync,62.90595071,31488,15744.38438
randread,2048,ordered,none,512,on,noatime,5,sync,21.59433044,73843,36921.69014
randwrite,2048,ordered,none,512,on,noatime,5,sync,62.94541065,31334,15667.22448
rw,2048,ordered,none,512,on,noatime,5,sync,31.37618812,35386,17693.28641
randrw,2048,ordered,none,512,on,noatime,5,sync,91.42803406,12878,6439.310345
read,2048,ordered,none,512,on,noatime,5,libaio,30.33817928,272215,136107.9958
write,2048,ordered,none,512,on,noatime,5,libaio,794.1851999,39724,19862.40339
randread,2048,ordered,none,512,on,noatime,5,libaio,389.7277885,67302,33651.34788
randwrite,2048,ordered,none,512,on,noatime,5,libaio,1419.23919,22439,11219.99658
rw,2048,ordered,none,512,on,noatime,5,libaio,74.55751679,195685,97842.81437
randrw,2048,ordered,none,512,on,noatime,5,libaio,898.8724289,17049,8524.716317
read,2048,ordered,none,512,on,noatime,30,sync,1.350559196,287123,143561.8839
write,2048,ordered,none,512,on,noatime,30,sync,47.48024037,41583,20791.87817
randread,2048,ordered,none,512,on,noatime,30,sync,20.36781538,77169,38584.6335
randwrite,2048,ordered,none,512,on,noatime,30,sync,67.13190172,29398,14699.11405
rw,2048,ordered,none,512,on,noatime,30,sync,21.11101729,61054,30527.32368
randrw,2048,ordered,none,512,on,noatime,30,sync,110.6309686,10813,5406.932495
read,2048,ordered,none,512,on,noatime,30,libaio,31.12206532,275072,137536.2015
write,2048,ordered,none,512,on,noatime,30,libaio,490.6538474,64140,32070.46734
randread,2048,ordered,none,512,on,noatime,30,libaio,239.8049141,97961,48980.56801
randwrite,2048,ordered,none,512,on,noatime,30,libaio,1032.003661,30782,15391.2635
rw,2048,ordered,none,512,on,noatime,30,libaio,106.4255238,83419,41709.63625
randrw,2048,ordered,none,512,on,noatime,30,libaio,1295.296718,12043,6021.651004
read,2048,ordered,none,512,on,atime,5,sync,1.253780159,288704,144352.4229
write,2048,ordered,none,512,on,atime,5,sync,56.63242744,34919,17459.97069
randread,2048,ordered,none,512,on,atime,5,sync,22.99674483,69700,34850.30577
randwrite,2048,ordered,none,512,on,atime,5,sync,80.90375864,24442,12221.1655
rw,2048,ordered,none,512,on,atime,5,sync,47.23455861,26907,13453.89049
randrw,2048,ordered,none,512,on,atime,5,sync,83.94252894,13934,6967.167679
read,2048,ordered,none,512,on,atime,5,libaio,31.05126254,824352,412176.1006
write,2048,ordered,none,512,on,atime,5,libaio,823.8968249,38302,19151.37347
randread,2048,ordered,none,512,on,atime,5,libaio,470.5374627,57475,28737.55755
randwrite,2048,ordered,none,512,on,atime,5,libaio,1041.775755,30442,15221.46092
rw,2048,ordered,none,512,on,atime,5,libaio,156.0098607,100940,50470.27027
randrw,2048,ordered,none,512,on,atime,5,libaio,1195.016273,13140,6570.064335
read,2048,ordered,none,512,on,atime,30,sync,1.291136734,293883,146941.704
write,2048,ordered,none,512,on,atime,30,sync,44.59447447,44213,22106.93203
randread,2048,ordered,none,512,on,atime,30,sync,27.98179973,60387,30193.96452
randwrite,2048,ordered,none,512,on,atime,30,sync,45.7608275,42833,21416.99346
rw,2048,ordered,none,512,on,atime,30,sync,19.5709929,24701,12350.5291
randrw,2048,ordered,none,512,on,atime,30,sync,66.90844178,17662,8831.103905
read,2048,ordered,none,512,on,atime,30,libaio,30.43710616,277401,138700.5291
write,2048,ordered,none,512,on,atime,30,libaio,753.7508861,42057,21028.71811
randread,2048,ordered,none,512,on,atime,30,libaio,472.7743951,58383,29191.98218
randwrite,2048,ordered,none,512,on,atime,30,libaio,1014.176069,31218,15609.3843
rw,2048,ordered,none,512,on,atime,30,libaio,470.3993041,33465,16732.97491
randrw,2048,ordered,none,512,on,atime,30,libaio,1224.838041,12795,6397.709475
read,2048,ordered,none,512,off,noatime,5,sync,1.23305072,290947,145473.9179
write,2048,ordered,none,512,off,noatime,5,sync,43.69034417,44941,22470.76976
randread,2048,ordered,none,512,off,noatime,5,sync,28.65555575,58776,29388.34081
randwrite,2048,ordered,none,512,off,noatime,5,sync,72.31218939,27315,13657.60133
rw,2048,ordered,none,512,off,noatime,5,sync,9.618130112,110310,55155.27426
randrw,2048,ordered,none,512,off,noatime,5,sync,98.63936587,11853,5926.641277
read,2048,ordered,none,512,off,noatime,5,libaio,32.14045941,270530,135265.2219
write,2048,ordered,none,512,off,noatime,5,libaio,665.4906141,47567,23783.70532
randread,2048,ordered,none,512,off,noatime,5,libaio,365.4405886,71215,35607.7153
randwrite,2048,ordered,none,512,off,noatime,5,libaio,1025.24793,30989,15494.97577
rw,2048,ordered,none,512,off,noatime,5,libaio,328.5240056,48058,24029.04412
randrw,2048,ordered,none,512,off,noatime,5,libaio,1069.671563,14498,7249.223602
read,2048,ordered,none,512,off,noatime,30,sync,1.249062225,291595,145797.5528
write,2048,ordered,none,512,off,noatime,30,sync,49.17334847,40150,20075.3561
randread,2048,ordered,none,512,off,noatime,30,sync,22.06633599,72335,36167.77042
randwrite,2048,ordered,none,512,off,noatime,30,sync,67.45224914,29237,14618.78207
rw,2048,ordered,none,512,off,noatime,30,sync,11.34955347,103089,51544.95268
randrw,2048,ordered,none,512,off,noatime,30,sync,95.34020403,12241,6120.902791
read,2048,ordered,none,512,off,noatime,30,libaio,31.21304913,269418,134709.147
write,2048,ordered,none,512,off,noatime,30,libaio,656.6460639,48232,24116.28335
randread,2048,ordered,none,512,off,noatime,30,libaio,335.5090985,77374,38687.13105
randwrite,2048,ordered,none,512,off,noatime,30,libaio,1127.062712,28117,14058.99389
rw,2048,ordered,none,512,off,noatime,30,libaio,249.4112638,63486,31743.07917
randrw,2048,ordered,none,512,off,noatime,30,libaio,1267.826037,12437,6218.744053
read,2048,ordered,none,512,off,atime,5,sync,1.315013496,289023,144511.5766
write,2048,ordered,none,512,off,atime,5,sync,46.65780239,42335,21167.95866
randread,2048,ordered,none,512,off,atime,5,sync,21.11712383,74791,37395.7204
randwrite,2048,ordered,none,512,off,atime,5,sync,68.00580857,29007,14503.9283
rw,2048,ordered,none,512,off,atime,5,sync,5.314490889,202978,101489.1304
randrw,2048,ordered,none,512,off,atime,5,sync,89.58432094,13266,6633.411144
read,2048,ordered,none,512,off,atime,5,libaio,32.59125599,269141,134570.8419
write,2048,ordered,none,512,off,atime,5,libaio,777.0481719,40567,20283.50356
randread,2048,ordered,none,512,off,atime,5,libaio,336.2656675,77055,38527.92475
randwrite,2048,ordered,none,512,off,atime,5,libaio,1135.518495,28009,14004.91506
rw,2048,ordered,none,512,off,atime,5,libaio,95.47190525,98063,49031.50788
randrw,2048,ordered,none,512,off,atime,5,libaio,1166.949999,13380,6690.449381
read,2048,ordered,none,512,off,atime,30,sync,1.203146347,302357,151178.7774
write,2048,ordered,none,512,off,atime,30,sync,56.84415785,34841,17420.521
randread,2048,ordered,none,512,off,atime,30,sync,27.24026531,60921,30460.60888
randwrite,2048,ordered,none,512,off,atime,30,sync,64.34000544,30617,15308.57276
rw,2048,ordered,none,512,off,atime,30,sync,6.421250968,177364,88682.49661
randrw,2048,ordered,none,512,off,atime,30,sync,108.2024798,10949,5474.870163
read,2048,ordered,none,512,off,atime,30,libaio,32.67344348,266406,133203.252
write,2048,ordered,none,512,off,atime,30,libaio,778.9225172,40711,20355.95589
randread,2048,ordered,none,512,off,atime,30,libaio,382.168611,68534,34267.18954
randwrite,2048,ordered,none,512,off,atime,30,libaio,1181.185521,26867,13433.63739
rw,2048,ordered,none,512,off,atime,30,libaio,115.5232476,131374,65687.43719
randrw,2048,ordered,none,512,off,atime,30,libaio,1316.04143,11906,5953.092267
read,2048,writeback,bfq,128,on,noatime,5,sync,1.339770035,284629,142314.8751
write,2048,writeback,bfq,128,on,noatime,5,sync,47.80702332,41315,20657.52561
randread,2048,writeback,bfq,128,on,noatime,5,sync,18.84754775,81715,40857.85536
randwrite,2048,writeback,bfq,128,on,noatime,5,sync,87.40106617,22651,11325.67182
rw,2048,writeback,bfq,128,on,noatime,5,sync,16.20338712,76983,38491.75501
randrw,2048,writeback,bfq,128,on,noatime,5,sync,89.70545399,13205,6602.58612
read,2048,writeback,bfq,128,on,noatime,5,libaio,27.46792737,284013,142006.5005
write,2048,writeback,bfq,128,on,noatime,5,libaio,677.626285,46727,23363.99287
randread,2048,writeback,bfq,128,on,noatime,5,libaio,379.5429544,68967,34483.55696
randwrite,2048,writeback,bfq,128,on,noatime,5,libaio,605.9643846,51981,25990.87845
rw,2048,writeback,bfq,128,on,noatime,5,libaio,78.18682351,120923,60461.60962
randrw,2048,writeback,bfq,128,on,noatime,5,libaio,1300.518314,12187,6093.511095
read,2048,writeback,bfq,128,on,noatime,30,sync,1.227903259,291595,145797.5528
write,2048,writeback,bfq,128,on,noatime,30,sync,38.65280503,50881,25440.99379
randread,2048,writeback,bfq,128,on,noatime,30,sync,23.49992881,68337,34168.92597
randwrite,2048,writeback,bfq,128,on,noatime,30,sync,67.31733083,29283,14641.64433
rw,2048,writeback,bfq,128,on,noatime,30,sync,17.28220644,73149,36574.70621
randrw,2048,writeback,bfq,128,on,noatime,30,sync,83.9536016,14225,7112.743498
read,2048,writeback,bfq,128,on,noatime,30,libaio,32.14274823,271370,135685.3002
write,2048,writeback,bfq,128,on,noatime,30,libaio,796.7996102,39730,19865.41376
randread,2048,writeback,bfq,128,on,noatime,30,libaio,297.4127783,83832,41916.21362
randwrite,2048,writeback,bfq,128,on,noatime,30,libaio,1045.262837,30372,15186.18932
rw,2048,writeback,bfq,128,on,noatime,30,libaio,72.94262212,199265,99632.62195
randrw,2048,writeback,bfq,128,on,noatime,30,libaio,1094.782085,14085,7042.99569
read,2048,writeback,bfq,128,on,atime,5,sync,1.305686066,305173,152586.7288
write,2048,writeback,bfq,128,on,atime,5,sync,50.25899589,39325,19662.76628
randread,2048,writeback,bfq,128,on,atime,5,sync,25.28015897,64046,32023.45468
randwrite,2048,writeback,bfq,128,on,atime,5,sync,65.49235183,30093,15046.72254
rw,2048,writeback,bfq,128,on,atime,5,sync,5.61478664,192515,96257.73196
randrw,2048,writeback,bfq,128,on,atime,5,sync,112.0261962,10197,5098.603635
read,2048,writeback,bfq,128,on,atime,5,libaio,30.7459487,271370,135685.3002
write,2048,writeback,bfq,128,on,atime,5,libaio,729.8496177,42562,21281.37685
randread,2048,writeback,bfq,128,on,atime,5,libaio,312.2778307,80883,40441.83894
randwrite,2048,writeback,bfq,128,on,atime,5,libaio,1144.124151,27790,13895.0493
rw,2048,writeback,bfq,128,on,atime,5,libaio,157.332104,96684,48342.45562
randrw,2048,writeback,bfq,128,on,atime,5,libaio,1190.892488,13024,6512.455161
read,2048,writeback,bfq,128,on,atime,30,sync,1.23052282,297552,148776.3905
write,2048,writeback,bfq,128,on,atime,30,sync,49.23504198,40144,20072.28178
randread,2048,writeback,bfq,128,on,atime,30,sync,25.82280652,63335,31667.55255
randwrite,2048,writeback,bfq,128,on,atime,30,sync,71.28441182,27693,13846.60892
rw,2048,writeback,bfq,128,on,atime,30,sync,4.672498646,214643,107321.8391
randrw,2048,writeback,bfq,128,on,atime,30,sync,86.37183725,13650,6825.292398
read,2048,writeback,bfq,128,on,atime,30,libaio,30.81566468,277107,138553.9112
write,2048,writeback,bfq,128,on,atime,30,libaio,570.4076075,54887,27443.8861
randread,2048,writeback,bfq,128,on,atime,30,libaio,427.0618898,62281,31140.88857
randwrite,2048,writeback,bfq,128,on,atime,30,libaio,1191.070535,26659,13329.80779
rw,2048,writeback,bfq,128,on,atime,30,libaio,477.0730069,33337,16668.962
randrw,2048,writeback,bfq,128,on,atime,30,libaio,1175.374942,13322,6661.12923
read,2048,writeback,bfq,128,off,noatime,5,sync,1.286477707,289982,144991.1504
