workload_type,block_size,journal_modes,io_schedulers,read_ahead_sizes,barriers,noatime_options,commit_intervals,io_engines,mean_latency,bandwidth,iops
rw,2048,ordered,bfq,128,off,noatime,30,sync,17.31153977,47969,23984.95413
randrw,2048,ordered,bfq,128,off,noatime,30,sync,176.47759,6927,3463.829562
read,2048,ordered,bfq,128,off,noatime,30,libaio,50.74011018,216647,108323.9669
write,2048,ordered,bfq,128,off,noatime,30,libaio,1543.127226,20540,10270.49052
randread,2048,ordered,bfq,128,off,noatime,30,libaio,708.7543527,39694,19847.36523
randwrite,2048,ordered,bfq,128,off,noatime,30,libaio,1529.453477,20798,10399.23834
rw,2048,ordered,bfq,128,off,noatime,30,libaio,472.6955838,27352,13676.29211
randrw,2048,ordered,bfq,128,off,noatime,30,libaio,3292.55751,4888,2444.332249
read,2048,ordered,bfq,128,off,atime,5,sync,2.501525352,550722,275361.3445
write,2048,ordered,bfq,128,off,atime,5,sync,89.58882061,22114,11057.19588
randread,2048,ordered,bfq,128,off,atime,5,sync,38.80807588,43822,21911.06653
randwrite,2048,ordered,bfq,128,off,atime,5,sync,130.6861353,15154,7577.292173
rw,2048,ordered,bfq,128,off,atime,5,sync,11.65247094,60855,30427.83985
randrw,2048,ordered,bfq,128,off,atime,5,sync,150.038363,7998,3999.449272
read,2048,ordered,bfq,128,off,atime,5,libaio,64.19221783,185391,92695.89816
write,2048,ordered,bfq,128,off,atime,5,libaio,2981.461687,10676,5338.329328
randread,2048,ordered,bfq,128,off,atime,5,libaio,1084.641602,25440,12720.49689
randwrite,2048,ordered,bfq,128,off,atime,5,libaio,5710.46529,5586,2793.282755
rw,2048,ordered,bfq,128,off,atime,5,libaio,144.6231286,42760,21380.11122
randrw,2048,ordered,bfq,128,off,atime,5,libaio,1969.718422,7397,3698.868138
read,2048,ordered,bfq,128,off,atime,30,sync,1.279438133,59161,29580.68156
write,2048,ordered,bfq,128,off,atime,30,sync,86.51562145,22938,11469.37347
randread,2048,ordered,bfq,128,off,atime,30,sync,37.41931869,35593,17796.60557
randwrite,2048,ordered,bfq,128,off,atime,30,sync,104.7168284,18864,9432.354634
rw,2048,ordered,bfq,128,off,atime,30,sync,10.87108727,40407,20203.70943
randrw,2048,ordered,bfq,128,off,atime,30,sync,137.5843775,8085,4042.741387
read,2048,ordered,bfq,128,off,atime,30,libaio,47.84720615,104398,52199.12386
write,2048,ordered,bfq,128,off,atime,30,libaio,1569.380179,20200,10100.33136
randread,2048,ordered,bfq,128,off,atime,30,libaio,433.6291821,46719,23359.82891
randwrite,2048,ordered,bfq,128,off,atime,30,libaio,1474.214971,21547,10773.63143
rw,2048,ordered,bfq,128,off,atime,30,libaio,231.6954244,32323,16161.96835
randrw,2048,ordered,bfq,128,off,atime,30,libaio,2296.884267,6109,3054.729856
read,2048,ordered,bfq,256,on,noatime,5,sync,1.683933144,120915,60457.56458
write,2048,ordered,bfq,256,on,noatime,5,sync,72.81726522,27156,13578.36942
randread,2048,ordered,bfq,256,on,noatime,5,sync,26.04551215,46953,23476.9837
randwrite,2048,ordered,bfq,256,on,noatime,5,sync,96.00728899,20579,10289.84142
rw,2048,ordered,bfq,256,on,noatime,5,sync,30.48924401,22295,11147.70595
randrw,2048,ordered,bfq,256,on,noatime,5,sync,122.001994,9053,4526.873528
read,2048,ordered,bfq,256,on,noatime,5,libaio,32.28987546,116404,58202.48668
write,2048,ordered,bfq,256,on,noatime,5,libaio,961.126968,32911,16455.99498
randread,2048,ordered,bfq,256,on,noatime,5,libaio,395.6844553,54094,27047.46182
randwrite,2048,ordered,bfq,256,on,noatime,5,libaio,1379.749785,23013,11506.62804
rw,2048,ordered,bfq,256,on,noatime,5,libaio,615.5502794,20735,10367.86168
randrw,2048,ordered,bfq,256,on,noatime,5,libaio,1667.177174,9236,4618.031513
read,2048,ordered,bfq,256,on,noatime,30,sync,1.825247589,137248,68624.08377
write,2048,ordered,bfq,256,on,noatime,30,sync,71.42602856,27710,13855.39112
randread,2048,ordered,bfq,256,on,noatime,30,sync,24.33243242,55234,27617.36199
randwrite,2048,ordered,bfq,256,on,noatime,30,sync,75.79332658,25985,12992.86281
rw,2048,ordered,bfq,256,on,noatime,30,sync,17.07986589,72904,36452.31456
randrw,2048,ordered,bfq,256,on,noatime,30,sync,130.1792738,8834,4417.043995
read,2048,ordered,bfq,256,on,noatime,30,libaio,38.94986165,145312,72656.31929
write,2048,ordered,bfq,256,on,noatime,30,libaio,854.5509204,37094,18547.04967
randread,2048,ordered,bfq,256,on,noatime,30,libaio,488.8744183,45974,22987.0221
randwrite,2048,ordered,bfq,256,on,noatime,30,libaio,1342.794236,23704,11852.06619
rw,2048,ordered,bfq,256,on,noatime,30,libaio,366.5841685,27688,13844.31265
randrw,2048,ordered,bfq,256,on,noatime,30,libaio,1460.961602,10270,5135.460046
read,2048,ordered,bfq,256,on,atime,5,sync,1.32812072,960234,480117.2161
write,2048,ordered,bfq,256,on,atime,5,sync,50.07906709,39396,19698.22663
randread,2048,ordered,bfq,256,on,atime,5,sync,29.69817065,48428,24214.29891
randwrite,2048,ordered,bfq,256,on,atime,5,sync,54.60526141,35875,17937.8678
rw,2048,ordered,bfq,256,on,atime,5,sync,6.170937499,166732,83366.07143
randrw,2048,ordered,bfq,256,on,atime,5,sync,111.0589102,10704,5352.469085
read,2048,ordered,bfq,256,on,atime,5,libaio,32.85354147,188321,94160.91954
write,2048,ordered,bfq,256,on,atime,5,libaio,909.4742602,34702,17351.33704
randread,2048,ordered,bfq,256,on,atime,5,libaio,382.8125199,57868,28934.21634
randwrite,2048,ordered,bfq,256,on,atime,5,libaio,1249.70673,25438,12719.26249
rw,2048,ordered,bfq,256,on,atime,5,libaio,237.5762667,36401,18200.77973
randrw,2048,ordered,bfq,256,on,atime,5,libaio,1476.675402,10400,5200.429663
read,2048,ordered,bfq,256,on,atime,30,sync,1.451657639,870910,435455.1495
write,2048,ordered,bfq,256,on,atime,30,sync,45.4370798,43386,21693.47898
randread,2048,ordered,bfq,256,on,atime,30,sync,23.59997768,67095,33547.99079
randwrite,2048,ordered,bfq,256,on,atime,30,sync,89.76196154,22025,11012.60292
rw,2048,ordered,bfq,256,on,atime,30,sync,6.957809743,79852,39926.0843
randrw,2048,ordered,bfq,256,on,atime,30,sync,120.0351863,9724,4862.297277
read,2048,ordered,bfq,256,on,atime,30,libaio,30.4406021,862315,431157.8947
write,2048,ordered,bfq,256,on,atime,30,libaio,858.2055261,36958,18479.06387
randread,2048,ordered,bfq,256,on,atime,30,libaio,488.5290137,46794,23397.35809
randwrite,2048,ordered,bfq,256,on,atime,30,libaio,1597.137322,19916,9958.36499
rw,2048,ordered,bfq,256,on,atime,30,libaio,272.5142223,36060,18030.06897
randrw,2048,ordered,bfq,256,on,atime,30,libaio,1192.316969,12641,6320.98646
read,2048,ordered,bfq,256,off,noatime,5,sync,1.403583405,923042,461521.1268
write,2048,ordered,bfq,256,off,noatime,5,sync,40.69235816,48410,24205.35549
randread,2048,ordered,bfq,256,off,noatime,5,sync,23.46594827,58254,29127.11111
randwrite,2048,ordered,bfq,256,off,noatime,5,sync,106.2356162,18611,9305.786297
rw,2048,ordered,bfq,256,off,noatime,5,sync,7.304123273,82680,41340.29096
randrw,2048,ordered,bfq,256,off,noatime,5,sync,115.9964504,10466,5233.325326
read,2048,ordered,bfq,256,off,noatime,5,libaio,39.83066949,684449,342224.5431
write,2048,ordered,bfq,256,off,noatime,5,libaio,830.5350518,38157,19078.89374
randread,2048,ordered,bfq,256,off,noatime,5,libaio,399.2209468,65339,32669.99003
randwrite,2048,ordered,bfq,256,off,noatime,5,libaio,1430.479353,22238,11119.10417
rw,2048,ordered,bfq,256,off,noatime,5,libaio,105.5751523,73768,36884.31151
randrw,2048,ordered,bfq,256,off,noatime,5,libaio,1439.025008,10956,5478.082307
read,2048,ordered,bfq,256,off,noatime,30,sync,1.48823307,910222,455111.1111
write,2048,ordered,bfq,256,off,noatime,30,sync,53.06953099,37104,18552.30007
randread,2048,ordered,bfq,256,off,noatime,30,sync,29.979168,55645,27822.54299
randwrite,2048,ordered,bfq,256,off,noatime,30,sync,72.92063686,27044,13522.33571
rw,2048,ordered,bfq,256,off,noatime,30,sync,16.49738968,76131,38065.81246
randrw,2048,ordered,bfq,256,off,noatime,30,sync,114.7645941,10266,5133.040132
read,2048,ordered,bfq,256,off,noatime,30,libaio,30.59480164,268315,134157.6254
write,2048,ordered,bfq,256,off,noatime,30,libaio,911.8587595,34620,17310.08981
randread,2048,ordered,bfq,256,off,noatime,30,libaio,425.5958163,61826,30913.20755
randwrite,2048,ordered,bfq,256,off,noatime,30,libaio,1167.079683,27230,13615.04103
rw,2048,ordered,bfq,256,off,noatime,30,libaio,172.0790264,89655,44827.84637
randrw,2048,ordered,bfq,256,off,noatime,30,libaio,1466.008054,10621,5310.717478
read,2048,ordered,bfq,256,off,atime,5,sync,1.463878906,269141,134570.8419
write,2048,ordered,bfq,256,off,atime,5,sync,50.28622781,39225,19612.74877
randread,2048,ordered,bfq,256,off,atime,5,sync,23.61024355,67250,33625.44895
randwrite,2048,ordered,bfq,256,off,atime,5,sync,78.55025156,25092,12546.37695
rw,2048,ordered,bfq,256,off,atime,5,sync,7.495177175,81393,40696.76214
randrw,2048,ordered,bfq,256,off,atime,5,sync,109.3424618,10771,5385.990935
read,2048,ordered,bfq,256,off,atime,5,libaio,32.92105161,768750,384375.3666
write,2048,ordered,bfq,256,off,atime,5,libaio,992.195098,31910,15955.2039
randread,2048,ordered,bfq,256,off,atime,5,libaio,433.7886703,60878,30439.3869
randwrite,2048,ordered,bfq,256,off,atime,5,libaio,1288.244027,24653,12326.9068
rw,2048,ordered,bfq,256,off,atime,5,libaio,511.3431118,26880,13440.05758
randrw,2048,ordered,bfq,256,off,atime,5,libaio,1779.983037,8691,4345.678191
read,2048,ordered,bfq,256,off,atime,30,sync,1.711263817,206088,103044.0252
write,2048,ordered,bfq,256,off,atime,30,sync,43.42274798,45424,22712.1816
randread,2048,ordered,bfq,256,off,atime,30,sync,20.62740215,69719,34859.57447
randwrite,2048,ordered,bfq,256,off,atime,30,sync,76.09077875,25895,12947.94033
rw,2048,ordered,bfq,256,off,atime,30,sync,22.04668131,44720,22360.24632
randrw,2048,ordered,bfq,256,off,atime,30,sync,131.1968702,8972,4486.169264
read,2048,ordered,bfq,256,off,atime,30,libaio,38.19525237,233016,116508.4444
write,2048,ordered,bfq,256,off,atime,30,libaio,1082.657576,29240,14620.41272
randread,2048,ordered,bfq,256,off,atime,30,libaio,338.929406,92663,46331.56592
randwrite,2048,ordered,bfq,256,off,atime,30,libaio,1179.412173,26916,13458.46596
rw,2048,ordered,bfq,256,off,atime,30,libaio,189.2105655,49197,24598.79563
randrw,2048,ordered,bfq,256,off,atime,30,libaio,1407.177953,10943,5471.661783
read,2048,ordered,bfq,512,on,noatime,5,sync,1.462611916,287123,143561.8839
write,2048,ordered,bfq,512,on,noatime,5,sync,62.0567182,31809,15904.86591
randread,2048,ordered,bfq,512,on,noatime,5,sync,23.38895463,54195,27097.78789
randwrite,2048,ordered,bfq,512,on,noatime,5,sync,87.04812392,22688,11344.29635
rw,2048,ordered,bfq,512,on,noatime,5,sync,8.110700133,80392,40196.18696
randrw,2048,ordered,bfq,512,on,noatime,5,sync,121.3699993,9507,4753.727544
read,2048,ordered,bfq,512,on,noatime,5,libaio,31.66786607,260321,130160.8739
write,2048,ordered,bfq,512,on,noatime,5,libaio,708.3550997,44612,22306.33084
randread,2048,ordered,bfq,512,on,noatime,5,libaio,426.6473836,67044,33522.25064
randwrite,2048,ordered,bfq,512,on,noatime,5,libaio,1168.333529,27159,13579.77621
rw,2048,ordered,bfq,512,on,noatime,5,libaio,102.0836288,82419,41209.96217
randrw,2048,ordered,bfq,512,on,noatime,5,libaio,1393.795566,11199,5599.640164
read,2048,ordered,bfq,512,on,noatime,30,sync,1.766153259,131863,65931.58954
write,2048,ordered,bfq,512,on,noatime,30,sync,64.8998841,30528,15264.00373
randread,2048,ordered,bfq,512,on,noatime,30,sync,23.63379603,76404,38202.27339
randwrite,2048,ordered,bfq,512,on,noatime,30,sync,103.3611849,19037,9518.663762
rw,2048,ordered,bfq,512,on,noatime,30,sync,14.10289024,50121,25060.96626
randrw,2048,ordered,bfq,512,on,noatime,30,sync,153.944107,7057,3528.532095
read,2048,ordered,bfq,512,on,noatime,30,libaio,58.63998315,198143,99071.8065
write,2048,ordered,bfq,512,on,noatime,30,libaio,1240.877511,25547,12773.80372
randread,2048,ordered,bfq,512,on,noatime,30,libaio,539.1700849,50286,25143.29561
randwrite,2048,ordered,bfq,512,on,noatime,30,libaio,1572.660165,20206,10103.44562
rw,2048,ordered,bfq,512,on,noatime,30,libaio,356.0252305,32062,16031.15036
randrw,2048,ordered,bfq,512,on,noatime,30,libaio,1989.715738,7807,3903.661232
read,2048,ordered,bfq,512,on,atime,5,sync,1.459610947,186049,93024.84031
write,2048,ordered,bfq,512,on,atime,5,sync,51.32960667,38325,19162.5731
randread,2048,ordered,bfq,512,on,atime,5,sync,24.86437891,76762,38381.25915
randwrite,2048,ordered,bfq,512,on,atime,5,sync,99.18432694,19919,9959.878419
rw,2048,ordered,bfq,512,on,atime,5,sync,8.481057406,57032,28516.14311
randrw,2048,ordered,bfq,512,on,atime,5,sync,135.1402628,8603,4301.632223
read,2048,ordered,bfq,512,on,atime,5,libaio,44.71805349,149199,74599.88617
write,2048,ordered,bfq,512,on,atime,5,libaio,1073.178421,29544,14772.00496
randread,2048,ordered,bfq,512,on,atime,5,libaio,483.1454387,65096,32548.29898
randwrite,2048,ordered,bfq,512,on,atime,5,libaio,1383.39664,23013,11506.62804
rw,2048,ordered,bfq,512,on,atime,5,libaio,95.5403913,56661,28330.73255
randrw,2048,ordered,bfq,512,on,atime,5,libaio,1368.897551,11358,5679.440389
read,2048,ordered,bfq,512,on,atime,30,sync,1.289162201,120803,60401.84332
write,2048,ordered,bfq,512,on,atime,30,sync,50.03569778,39432,19716.00481
randread,2048,ordered,bfq,512,on,atime,30,sync,24.17179468,58462,29231.04371
randwrite,2048,ordered,bfq,512,on,atime,30,sync,64.19600914,30688,15344.41583
rw,2048,ordered,bfq,512,on,atime,30,sync,18.01019626,50528,25264.39892
randrw,2048,ordered,bfq,512,on,atime,30,sync,105.1889198,11110,5555.376116
read,2048,ordered,bfq,512,on,atime,30,libaio,50.67851485,190650,95325.09091
